subpath_name;asset_id;city
7VU011VjFJ8jQbve6knV-188_7VU011VjFJ8jQbve6knV-185;10SYJGCPA001;mam-beijing
7VU011VjFJ8jQbve6knV-187_7VU011VjFJ8jQbve6knV-184;10SYJSHCPA019;mam-beijing
7VU011VjFJ8jQbve6knV-201_7VU011VjFJ8jQbve6knV-197;10SYJPPL001;mam-beijing
7VU011VjFJ8jQbve6knV-202_7VU011VjFJ8jQbve6knV-198;10SYJPPL025;mam-beijing
7VU011VjFJ8jQbve6knV-255_7VU011VjFJ8jQbve6knV-197;10SYJPPL036;mam-beijing
7VU011VjFJ8jQbve6knV-258_7VU011VjFJ8jQbve6knV-198;10SYJPPL013;mam-beijing
7VU011VjFJ8jQbve6knV-186_7VU011VjFJ8jQbve6knV-211;10SYJIPLED001;mam-beijing
hIVBcjlPvXFMVTDNnJq9-71_hIVBcjlPvXFMVTDNnJq9-75;10TYGACPA001;mam-beijing
hIVBcjlPvXFMVTDNnJq9-76_hIVBcjlPvXFMVTDNnJq9-79;10TYGWSHCPA001;mam-beijing
hIVBcjlPvXFMVTDNnJq9-75_hIVBcjlPvXFMVTDNnJq9-79;10TYGWSHCPA004;mam-beijing
hIVBcjlPvXFMVTDNnJq9-74_hIVBcjlPvXFMVTDNnJq9-78;10TYGBCPA001;mam-beijing
hIVBcjlPvXFMVTDNnJq9-73_hIVBcjlPvXFMVTDNnJq9-77;10TYGCCPA001;mam-beijing
hIVBcjlPvXFMVTDNnJq9-89_hIVBcjlPvXFMVTDNnJq9-98;10TYGPPL001;mam-beijing
hIVBcjlPvXFMVTDNnJq9-90_hIVBcjlPvXFMVTDNnJq9-99;10TYGPPL013;mam-beijing
hIVBcjlPvXFMVTDNnJq9-107_hIVBcjlPvXFMVTDNnJq9-103;10TYGACPA001;mam-beijing
hIVBcjlPvXFMVTDNnJq9-111_hIVBcjlPvXFMVTDNnJq9-108;10TYGWSHCPA001;mam-beijing
hIVBcjlPvXFMVTDNnJq9-111_hIVBcjlPvXFMVTDNnJq9-107;10TYGWSHCPA004;mam-beijing
hIVBcjlPvXFMVTDNnJq9-109_hIVBcjlPvXFMVTDNnJq9-106;10TYGBCPA001;mam-beijing
hIVBcjlPvXFMVTDNnJq9-110_hIVBcjlPvXFMVTDNnJq9-105;10TYGCCPA001;mam-beijing
hIVBcjlPvXFMVTDNnJq9-125_hIVBcjlPvXFMVTDNnJq9-121;10TYGPPL001;mam-beijing
hIVBcjlPvXFMVTDNnJq9-127_hIVBcjlPvXFMVTDNnJq9-121;10TYGPPL033;mam-beijing
