asset_id;hour_from;hour_to;station_id
01GZFPPL012;6:00;22:00;107
01GZFPPL013;6:00;22:00;107
01GZFPPL014;6:00;22:00;107
01GZFPPL015;6:00;22:00;107
01GZFPPL016;6:00;22:00;107
01GZFPPL017;6:00;22:00;107
01GZFPPL018;6:00;22:00;107
01GZFPPL019;6:00;22:00;107
01GZFPPL020;6:00;22:00;107
01GZFPPL021;6:00;22:00;107
01GZFPPL022;6:00;22:00;107
01GZFPPL023;6:00;22:00;107
01GZFPPL024;6:00;22:00;107
01GZFPPL025;6:00;22:00;107
01GZFPPL026;6:00;22:00;107
01GZFPPL027;6:00;22:00;107
01GZFPPL028;6:00;22:00;107
01GZFPPL029;6:00;22:00;107
01GZFPPL030;6:00;22:00;107
01GZFPPL031;6:00;22:00;107
01GZFPPL032;6:00;22:00;107
01GZFACP001;6:00;22:00;107
01GZFDCP001;6:00;22:00;107
01GZFDCP002;6:00;22:00;107
01GZFDCP005;6:00;22:00;107
01GZFDCP006;6:00;22:00;107
01GZFBCP001;6:00;22:00;107
01GZFBCP002;6:00;22:00;107
01GZFCCP001;6:00;22:00;107
01GZFCCP002;6:00;22:00;107
01JSBWGPPL001;6:00;22:00;108
01JSBWGPPL002;6:00;22:00;108
01JSBWGPPL003;6:00;22:00;108
01JSBWGPPL004;6:00;22:00;108
01JSBWGPPL005;6:00;22:00;108
01JSBWGPPL006;6:00;22:00;108
01JSBWGPPL007;6:00;22:00;108
01JSBWGPPL008;6:00;22:00;108
01JSBWGPPL009;6:00;22:00;108
01JSBWGPPL010;6:00;22:00;108
01JSBWGPPL011;6:00;22:00;108
01JSBWGPPL012;6:00;22:00;108
01JSBWGPPL013;6:00;22:00;108
01JSBWGPPL014;6:00;22:00;108
01JSBWGPPL015;6:00;22:00;108
01JSBWGPPL016;6:00;22:00;108
01JSBWGPPL017;6:00;22:00;108
01JSBWGPPL018;6:00;22:00;108
01JSBWGPPL019;6:00;22:00;108
01JSBWGPPL020;6:00;22:00;108
01JSBWGPPL021;6:00;22:00;108
01JSBWGPPL022;6:00;22:00;108
01JSBWGPPL023;6:00;22:00;108
01JSBWGPPL024;6:00;22:00;108
01JSBWGPPL025;6:00;22:00;108
01JSBWGPPL026;6:00;22:00;108
01JSBWGPPL027;6:00;22:00;108
01JSBWGPPL028;6:00;22:00;108
01JSBWGACP001;6:00;22:00;108
01JSBWGACP002;6:00;22:00;108
01JSBWGACP003;6:00;22:00;108
01JSBWGACP006;6:00;22:00;108
