station_id;year;month;departure;arrival
613;2022;5;560361.5;560361.5
613;2022;6;540693.5;540693.5
613;2021;7;560761.5;560761.5
613;2021;8;585734.5;585734.5
613;2021;9;541817.5;541817.5
613;2021;10;555522.5;555522.5
613;2021;11;566420.5;566420.5
613;2021;12;584699;584699
614;2022;1;363431;363431
614;2022;2;400286;400286
614;2022;3;503317.5;503317.5
614;2022;4;669402;669402
614;2022;5;626761;626761
614;2022;6;570850;570850
614;2021;7;728311;728311
614;2021;8;694610;694610
614;2021;9;447916.5;447916.5
614;2021;10;527778;527778
614;2021;11;392565;392565
614;2021;12;364056;364056
615;2022;1;697465;697465
615;2022;2;739576;739576
615;2022;3;773397;773397
615;2022;4;894897.5;894897.5
615;2022;5;802315;802315
615;2022;6;729346.5;729346.5
615;2021;7;954541.5;954541.5
615;2021;8;1068518;1068518
615;2021;9;700039;700039
615;2021;10;811793.5;811793.5
615;2021;11;649975;649975
615;2021;12;630521;630521
618;2022;1;1186835;1186835
618;2022;2;757382.5;757382.5
618;2022;3;863086.5;863086.5
618;2022;4;827179.5;827179.5
618;2022;5;814985;814985
618;2022;6;823281.5;823281.5
618;2021;7;874659.5;874659.5
618;2021;8;1215949.5;1215949.5
618;2021;9;1083348;1083348
618;2021;10;1072003.5;1072003.5
618;2021;11;1118434.5;1118434.5
618;2021;12;1185683;1185683
619;2022;1;878593;878593
619;2022;2;713558.5;713558.5
619;2022;3;810294;810294
619;2022;4;753087.5;753087.5
619;2022;5;748337;748337
619;2022;6;741361;741361
619;2021;7;768812;768812
619;2021;8;875188;875188
619;2021;9;821216;821216
619;2021;10;793799.5;793799.5
619;2021;11;848030.5;848030.5
619;2021;12;874355.5;874355.5
620;2022;1;731336;731336
620;2022;2;546998;546998
620;2022;3;635005.5;635005.5
620;2022;4;610308.5;610308.5
620;2022;5;601652.5;601652.5
620;2022;6;590552;590552
620;2021;7;595029;595029
620;2021;8;723096.5;723096.5
620;2021;9;716256.5;716256.5
620;2021;10;686003.5;686003.5
620;2021;11;731134;731134
620;2021;12;755667;755667
621;2022;1;784707;784707
621;2022;2;612501.5;612501.5
621;2022;3;698018.5;698018.5
621;2022;4;655855.5;655855.5
621;2022;5;644745.5;644745.5
621;2022;6;633524.5;633524.5
621;2021;7;659801.5;659801.5
621;2021;8;815271.5;815271.5
621;2021;9;762567;762567
621;2021;10;750678.5;750678.5
621;2021;11;784799.5;784799.5
621;2021;12;803828;803828
622;2022;1;1444013;1444013
622;2022;2;1091723;1091723
622;2022;3;1193154;1193154
622;2022;4;1165679;1165679
622;2022;5;1139660.5;1139660.5
622;2022;6;1121284;1121284
622;2021;7;1204359;1204359
622;2021;8;1490581;1490581
622;2021;9;1399434.5;1399434.5
622;2021;10;1355625.5;1355625.5
622;2021;11;1396337;1396337
622;2021;12;1448991;1448991
623;2022;1;555687.5;555687.5
623;2022;2;437768.5;437768.5
623;2022;3;507033.5;507033.5
623;2022;4;477405.5;477405.5
623;2022;5;474209;474209
623;2022;6;467660;467660
623;2021;7;480604;480604
623;2021;8;589527;589527
623;2021;9;569742;569742
623;2021;10;559288.5;559288.5
623;2021;11;584649;584649
623;2021;12;592824;592824
624;2022;1;569063;569063
624;2022;2;386180.5;386180.5
624;2022;3;449449;449449
624;2022;4;427634;427634
624;2022;5;420816;420816
624;2022;6;406635;406635
624;2021;7;419735.5;419735.5
624;2021;8;573550.5;573550.5
624;2021;9;545913.5;545913.5
624;2021;10;527223;527223
624;2021;11;554528;554528
624;2021;12;563432;563432
625;2022;1;1049847;1049847
625;2022;2;796092.5;796092.5
625;2022;3;902091;902091
625;2022;4;869663.5;869663.5
625;2022;5;869171;869171
625;2022;6;858603;858603
625;2021;7;902274.5;902274.5
625;2021;8;1124471;1124471
625;2021;9;1060125.5;1060125.5
625;2021;10;1034005;1034005
625;2021;11;1081176.5;1081176.5
625;2021;12;1119056.5;1119056.5
626;2022;1;825735.5;825735.5
626;2022;2;590868;590868
626;2022;3;700518.5;700518.5
626;2022;4;662669;662669
626;2022;5;663537;663537
626;2022;6;643680.5;643680.5
626;2021;7;680514.5;680514.5
626;2021;8;897186;897186
626;2021;9;833328;833328
626;2021;10;822497.5;822497.5
626;2021;11;853985.5;853985.5
626;2021;12;871952;871952
627;2022;1;830481.5;830481.5
627;2022;2;602711;602711
627;2022;3;730528.5;730528.5
627;2022;4;687748.5;687748.5
627;2022;5;684995;684995
627;2022;6;666567.5;666567.5
627;2021;7;673032;673032
627;2021;8;892711;892711
627;2021;9;855665.5;855665.5
627;2021;10;838440.5;838440.5
627;2021;11;874048.5;874048.5
627;2021;12;881134;881134
628;2022;1;577754;577754
628;2022;2;564466.5;564466.5
628;2022;3;671783;671783
628;2022;4;643786;643786
628;2022;5;649377.5;649377.5
628;2022;6;639458;639458
628;2021;7;657493.5;657493.5
628;2021;8;691325.5;691325.5
628;2021;9;655741;655741
628;2021;10;638070;638070
628;2021;11;662488.5;662488.5
628;2021;12;669426;669426
629;2022;1;379258;379258
629;2022;2;379258;379258
629;2022;3;439717;439717
629;2022;4;416301;416301
629;2022;5;415616;415616
629;2022;6;412416.5;412416.5
629;2021;7;428551.5;428551.5
629;2021;8;428551.5;428551.5
629;2021;9;428551.5;428551.5
629;2021;10;428551.5;428551.5
629;2021;11;428551.5;428551.5
629;2021;12;428551.5;428551.5
630;2022;1;588362;588362
630;2022;2;64368;64368
630;2022;3;75610.5;75610.5
630;2022;4;72273;72273
630;2022;5;73276;73276
630;2022;6;71882;71882
630;2021;7;72569.5;72569.5
630;2021;8;623281;623281
630;2021;9;588504;588504
630;2021;10;586145.5;586145.5
630;2021;11;607847;607847
630;2021;12;609676;609676
631;2022;1;87218.5;87218.5
631;2022;2;89570;89570
631;2022;3;106291;106291
631;2022;4;102383.5;102383.5
631;2022;5;103246.5;103246.5
631;2022;6;99566.5;99566.5
631;2021;7;102155.5;102155.5
631;2021;8;95636.5;95636.5
631;2021;9;89225;89225
631;2021;10;86118;86118
631;2021;11;95086;95086
631;2021;12;102633;102633
632;2022;1;191013;191013
632;2022;2;179535;179535
632;2022;3;220485;220485
632;2022;4;216591.5;216591.5
632;2022;5;222105.5;222105.5
632;2022;6;213527.5;213527.5
632;2021;7;216468.5;216468.5
632;2021;8;215739.5;215739.5
632;2021;9;204054;204054
632;2021;10;203405.5;203405.5
632;2021;11;207694;207694
632;2021;12;205911.5;205911.5
633;2022;1;390947.5;390947.5
633;2022;2;341082;341082
633;2022;3;412788.5;412788.5
633;2022;4;413256.5;413256.5
633;2022;5;423715;423715
633;2022;6;417446.5;417446.5
633;2021;7;449119.5;449119.5
633;2021;8;495456;495456
633;2021;9;453601.5;453601.5
633;2021;10;446222.5;446222.5
633;2021;11;443541;443541
633;2021;12;445529.5;445529.5
703;2022;1;138152;138152
703;2022;2;138152;138152
703;2022;3;141184.5;141184.5
703;2022;4;134467.5;134467.5
703;2022;5;137646;137646
703;2022;6;140477.5;140477.5
703;2021;7;150544.5;150544.5
703;2021;8;150544.5;150544.5
703;2021;9;150544.5;150544.5
703;2021;10;150544.5;150544.5
703;2021;11;150544.5;150544.5
703;2021;12;150544.5;150544.5
704;2022;1;33520;33520
704;2022;2;33520;33520
704;2022;3;35363.5;35363.5
704;2022;4;37243.5;37243.5
704;2022;5;36671;36671
704;2022;6;38092.5;38092.5
704;2021;7;39373.5;39373.5
704;2021;8;39373.5;39373.5
704;2021;9;39373.5;39373.5
704;2021;10;39373.5;39373.5
704;2021;11;39373.5;39373.5
704;2021;12;39373.5;39373.5
705;2022;1;149974.5;149974.5
705;2022;2;149974.5;149974.5
705;2022;3;182698;182698
705;2022;4;184544.5;184544.5
705;2022;5;187434.5;187434.5
705;2022;6;190088;190088
705;2021;7;206107.5;206107.5
705;2021;8;206107.5;206107.5
705;2021;9;206107.5;206107.5
705;2021;10;206107.5;206107.5
705;2021;11;206107.5;206107.5
705;2021;12;206107.5;206107.5
706;2022;1;88997.5;88997.5
706;2022;2;88997.5;88997.5
706;2022;3;109224.5;109224.5
706;2022;4;106478;106478
706;2022;5;108537.5;108537.5
706;2022;6;106386.5;106386.5
706;2021;7;113803.5;113803.5
706;2021;8;113803.5;113803.5
706;2021;9;113803.5;113803.5
706;2021;10;113803.5;113803.5
706;2021;11;113803.5;113803.5
706;2021;12;113803.5;113803.5
707;2022;1;79998.5;79998.5
707;2022;2;79998.5;79998.5
707;2022;3;100709.5;100709.5
707;2022;4;100413;100413
707;2022;5;99238.5;99238.5
707;2022;6;92651.5;92651.5
707;2021;7;101912;101912
707;2021;8;101912;101912
707;2021;9;101912;101912
707;2021;10;101912;101912
707;2021;11;101912;101912
707;2021;12;101912;101912
708;2022;1;139503;139503
708;2022;2;139503;139503
708;2022;3;170897;170897
708;2022;4;167678;167678
708;2022;5;166621;166621
708;2022;6;159753;159753
708;2021;7;171670;171670
708;2021;8;171670;171670
708;2021;9;171670;171670
708;2021;10;171670;171670
708;2021;11;171670;171670
708;2021;12;171670;171670
709;2022;1;180347;180347
709;2022;2;180347;180347
709;2022;3;215848;215848
709;2022;4;207211.5;207211.5
709;2022;5;206225;206225
709;2022;6;212004;212004
709;2021;7;235810.5;235810.5
709;2021;8;235810.5;235810.5
709;2021;9;235810.5;235810.5
709;2021;10;235810.5;235810.5
